지방청,표지,일시,풍향,유향,파향,기온,수온,시정,풍속,유속,파고,기압,습도,염분
부산청,감천항유도등부표(랜비),2019-03-01 01:35,153.0,,,10.4,14.1,,2.4,,,1017.7,62.0,20.0
부산청,남항동방파제등대,2019-03-01 01:38,352.0,,,10.1,,,1.9,,,1016.9,66.0,
부산청,감천항유도등부표(랜비),2019-03-01 01:38,121.0,,,9.9,14.1,,2.1,,,1017.7,61.0,20.0
부산청,부산항유도등부표(랜비),2019-03-01 01:38,162.0,,,9.2,14.5,,39.0,,,1017.7,67.0,18.0
부산청,부산항신항다목적부두,2019-03-01 01:39,,,,,,7.8,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 01:39,,,,,,5.9,,,,,,
부산청,가덕도등대,2019-03-01 01:43,44.0,,,9.3,,,5.5,,,1007.2,60.0,
부산청,송정리등표,2019-03-01 01:43,357.0,,,8.3,,,3.2,,,1017.3,72.0,
부산청,오륙도등대,2019-03-01 01:43,93.0,,,10.2,,,0.82,,,1012.8,66.0,
부산청,부산항신항중앙C호등부표,2019-03-01 01:43,327.0,,,9.5,11.7,,3.5,,,1017.8,74.0,19.0
부산청,감천항유도등부표(랜비),2019-03-01 01:44,131.0,,,9.8,14.1,,2.2,,,967.0,62.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 01:44,174.0,,,9.2,14.5,,38.0,,,967.0,66.0,18.0
부산청,남항동방파제등대,2019-03-01 01:44,1.0,,,9.4,,,2.0,,,1017.0,66.0,
부산청,부산항신항다목적부두,2019-03-01 01:48,,,,,,7.6,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 01:48,,,,,,7.2,,,,,,
부산청,송정리등표,2019-03-01 01:49,356.0,,,8.2,,,3.8,,,1017.3,72.0,
부산청,오륙도등대,2019-03-01 01:49,353.0,,,10.1,,,0.72,,,1012.8,66.0,
부산청,가덕도등대,2019-03-01 01:49,44.0,,,10.0,,,5.29,,,1007.3,62.0,
부산청,부산항신항중앙C호등부표,2019-03-01 01:49,312.0,,,9.7,11.7,,4.3,,,1017.8,76.0,19.0
부산청,감천항유도등부표(랜비),2019-03-01 01:50,131.0,,,10.0,14.1,,2.3,,,1017.7,62.0,19.0
부산청,남항동방파제등대,2019-03-01 01:53,7.0,,,10.1,,,1.9,,,1016.8,68.0,
부산청,감천항유도등부표(랜비),2019-03-01 01:53,149.0,,,10.1,14.1,,2.1,,,1017.7,62.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 01:53,164.0,,,10.1,14.5,,43.9,,,1017.8,68.0,19.0
부산청,부산항신항다목적부두,2019-03-01 01:54,,,,,,8.0,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 01:54,,,,,,5.6,,,,,,
부산청,가덕도등대,2019-03-01 01:58,41.0,,,10.0,,,4.9,,,1007.4,62.0,
부산청,오륙도등대,2019-03-01 01:58,179.0,,,10.0,,,0.3,,,1012.6,67.0,
부산청,송정리등표,2019-03-01 01:58,2.0,,,7.4,,,3.7,,,1017.2,72.0,
부산청,부산항신항중앙C호등부표,2019-03-01 01:58,303.0,,,9.1,11.7,,4.4,,,1017.9,78.0,19.0
부산청,남항동방파제등대,2019-03-01 01:59,3.0,,,9.9,,,1.9,,,1016.9,68.0,
부산청,감천항유도등부표(랜비),2019-03-01 01:59,134.0,,,9.9,14.1,,1.7,,,966.9,63.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 01:59,164.0,,,10.2,14.5,,47.0,,,1017.7,70.0,18.0
부산청,부산항신항다목적부두,2019-03-01 02:03,,,,,,6.7,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 02:03,,,,,,6.1,,,,,,
부산청,송정리등표,2019-03-01 02:04,3.0,,,8.7,,,3.9,,,1017.1,72.0,
부산청,오륙도등대,2019-03-01 02:04,89.0,,,9.9,,,0.87,,,1012.7,66.0,
부산청,부산항신항중앙C호등부표,2019-03-01 02:04,285.0,,,9.0,11.7,,4.0,,,1018.0,78.0,19.0
부산청,가덕도등대,2019-03-01 02:04,41.0,,,10.0,,,5.0,,,1007.4,62.0,
부산청,남형제도등표,2019-03-01 02:04,289.0,,,11.6,,,2.8,,,1015.5,65.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:05,133.0,,,10.1,14.0,,1.7,,,1017.8,64.0,19.0
부산청,남항동방파제등대,2019-03-01 02:08,3.0,,,9.6,,,1.9,,,1017.0,68.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:08,114.0,,,9.7,14.1,,2.4,,,1017.8,62.0,19.0
