발생일자,시설명,시설관리번호,압력,단위,자료 수집 TAG 설명,TAGSN,변경일자
2020020919,일산정수장,4128112315,1650,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020919,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020919,일산정수장,4128112315,4330,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020919,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020918,일산정수장,4128112315,1640,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020918,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020918,일산정수장,4128112315,4350,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020918,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020917,일산정수장,4128112315,1690,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020917,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020917,일산정수장,4128112315,4170,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020917,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020916,일산정수장,4128112315,1550,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020916,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020916,일산정수장,4128112315,4230,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020916,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020915,일산정수장,4128112315,1360,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020915,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020915,일산정수장,4128112315,4390,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020915,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020914,일산정수장,4128112315,1320,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020914,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020914,일산정수장,4128112315,4550,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020914,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020913,일산정수장,4128112315,1260,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020913,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020913,일산정수장,4128112315,4730,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020913,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020912,일산정수장,4128112315,910,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020912,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020912,일산정수장,4128112315,4420,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020912,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020911,일산정수장,4128112315,730,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020911,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020911,일산정수장,4128112315,4140,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020911,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020910,일산정수장,4128112315,750,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020910,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020910,일산정수장,4128112315,4070,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020910,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020909,일산정수장,4128112315,800,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020909,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020909,일산정수장,4128112315,3990,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020909,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020908,일산정수장,4128112315,750,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020908,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020908,일산정수장,4128112315,4170,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020908,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020907,일산정수장,4128112315,900,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020907,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020907,일산정수장,4128112315,4670,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020907,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020906,일산정수장,4128112315,930,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020906,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020906,일산정수장,4128112315,4620,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020906,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
